Date,Match,League_ID,Decision_Over15,Decision_Result,O15I,RSI_A,Fiabilite_Over15,Fiabilite_Result,Flags
2025-08-30,Chelsea vs Fulham,39,UltraSafe +1.5,Éviter,0.993,0.247,0.993,0.247,
2025-08-30,Manchester United vs Burnley,39,UltraSafe +1.5,Éviter,0.830,-0.185,0.830,0.185,low_sample_B(0.6)
2025-08-30,Wolves vs Everton,39,UltraSafe +1.5,Éviter,0.984,-0.227,0.984,0.227,
2025-08-30,Tottenham vs Bournemouth,39,UltraSafe +1.5,Éviter,0.997,0.074,0.997,0.074,
2025-08-30,Sunderland vs Brentford,39,UltraSafe +1.5,Éviter,0.965,0.143,0.965,0.143,low_sample_A(0.6)
2025-08-30,Leeds vs Newcastle,39,UltraSafe +1.5,Éviter,0.965,-0.102,0.965,0.102,low_sample_A(0.6)
2025-08-30,Alaves vs Atletico Madrid,140,UltraSafe +1.5,Éviter,0.962,-0.276,0.962,0.276,
2025-08-30,Oviedo vs Real Sociedad,140,UltraSafe +1.5,Éviter,0.853,-0.212,0.853,0.212,low_sample_A(0.6)
2025-08-30,Girona vs Sevilla,140,UltraSafe +1.5,Éviter,0.997,-0.149,0.997,0.149,
2025-08-30,Real Madrid vs Mallorca,140,UltraSafe +1.5,Safe A ou Nul,0.980,0.532,0.980,0.532,
2025-08-30,Bologna vs Como,135,UltraSafe +1.5,Éviter,0.954,-0.070,0.954,0.070,
2025-08-30,Parma vs Atalanta,135,UltraSafe +1.5,Safe B ou Nul,0.987,-0.476,0.987,0.476,
2025-08-30,Napoli vs Cagliari,135,UltraSafe +1.5,Safe A ou Nul,0.949,0.485,0.949,0.485,
2025-08-30,Pisa vs AS Roma,135,Safe +1.5,Éviter,0.762,-0.352,0.762,0.352,low_sample_A(0.3)
2025-08-30,Werder Bremen vs Bayer Leverkusen,78,UltraSafe +1.5,Éviter,0.997,-0.316,0.997,0.316,
2025-08-30,1899 Hoffenheim vs Eintracht Frankfurt,78,UltraSafe +1.5,Éviter,0.997,-0.389,0.997,0.389,
2025-08-30,VfB Stuttgart vs Borussia Mönchengladbach,78,UltraSafe +1.5,Éviter,0.988,-0.024,0.988,0.024,
2025-08-30,RB Leipzig vs 1. FC Heidenheim,78,UltraSafe +1.5,Éviter,0.997,-0.046,0.997,0.046,
2025-08-30,FC Augsburg vs Bayern München,78,UltraSafe +1.5,UltraSafe B ou Nul,0.997,-0.694,0.997,0.694,
2025-08-30,Lorient vs Lille,61,UltraSafe +1.5,Éviter,0.965,0.074,0.965,0.074,low_sample_A(0.6)
