Type,Match,Pari,Fiabilité,League_ID,Flags
UltraSafe_Over15,FC Augsburg vs Bayern München,+1.5 Buts,0.997,78,
UltraSafe_Result,FC Augsburg vs Bayern München,Bayern München ou Nul,0.694,78,
UltraSafe_Over15,Galatasaray vs Rizespor,+1.5 Buts,0.992,203,
UltraSafe_Result,Galatasaray vs Rizespor,Galatasaray ou Nul,0.684,203,
UltraSafe_Over15,Mlada Boleslav vs Slavia Praha,+1.5 Buts,0.995,345,
UltraSafe_Result,Mlada Boleslav vs Slavia Praha,Slavia Praha ou Nul,0.638,345,
UltraSafe_Over15,Volos NFC vs Olympiakos Piraeus,+1.5 Buts,0.948,197,
UltraSafe_Result,Volos NFC vs Olympiakos Piraeus,Olympiakos Piraeus ou Nul,0.620,197,
UltraSafe_Over15,Kolos Kovalivka vs Epitsentr Dunayivtsi,+1.5 Buts,0.980,333,low_sample_B(1.5999999999999999)
UltraSafe_Over15,Grazer AK vs Sturm Graz,+1.5 Buts,0.997,218,
UltraSafe_Over15,Real Madrid vs Mallorca,+1.5 Buts,0.980,140,
UltraSafe_Over15,Mjallby AIF vs Halmstad,+1.5 Buts,0.995,113,
UltraSafe_Over15,FC Volendam vs Ajax,+1.5 Buts,0.965,88,low_sample_A(0.8999999999999999)
UltraSafe_Over15,Napoli vs Cagliari,+1.5 Buts,0.949,135,
UltraSafe_Over15,Parma vs Atalanta,+1.5 Buts,0.987,135,
UltraSafe_Over15,AVS vs Famalicao,+1.5 Buts,0.973,94,
UltraSafe_Over15,Slovácko vs FK Jablonec,+1.5 Buts,0.949,345,
UltraSafe_Over15,Red Bull Salzburg vs FC BW Linz,+1.5 Buts,0.989,218,
UltraSafe_Over15,1899 Hoffenheim vs Eintracht Frankfurt,+1.5 Buts,0.997,78,
UltraSafe_Over15,PSV Eindhoven vs Telstar,+1.5 Buts,0.991,88,low_sample_B(5.1)
UltraSafe_Over15,Toulouse vs Paris Saint Germain,+1.5 Buts,0.988,61,
UltraSafe_Over15,Excelsior vs Twente,+1.5 Buts,0.972,88,low_sample_A(0.8999999999999999)
UltraSafe_Over15,Aris Thessalonikis vs Panetolikos,+1.5 Buts,0.894,197,
UltraSafe_Over15,NK Varazdin vs Dinamo Zagreb,+1.5 Buts,0.979,210,
UltraSafe_Over15,Werder Bremen vs Bayer Leverkusen,+1.5 Buts,0.997,78,
UltraSafe_Over15,Alaves vs Atletico Madrid,+1.5 Buts,0.962,140,
UltraSafe_Over15,Metalist 1925 Kharkiv vs Ruh Lviv,+1.5 Buts,0.942,333,low_sample_A(2.9999999999999996)
UltraSafe_Over15,IFK Goteborg vs IFK Varnamo,+1.5 Buts,0.994,113,
UltraSafe_Over15,Chelsea vs Fulham,+1.5 Buts,0.993,39,
UltraSafe_Over15,Wolves vs Everton,+1.5 Buts,0.984,39,
UltraSafe_Over15,Charleroi vs Dender,+1.5 Buts,0.974,144,
UltraSafe_Over15,Livingston vs Heart Of Midlothian,+1.5 Buts,0.997,179,low_sample_A(3.6999999999999997)
UltraSafe_Over15,Oviedo vs Real Sociedad,+1.5 Buts,0.853,140,low_sample_A(0.6)
UltraSafe_Over15,Dukla Praha vs Hradec Králové,+1.5 Buts,0.949,345,
UltraSafe_Over15,Panserraikos vs OFI,+1.5 Buts,0.949,197,
UltraSafe_Over15,IF Brommapojkarna vs IF Elfsborg,+1.5 Buts,0.997,113,
UltraSafe_Over15,Pardubice vs Bohemians 1905,+1.5 Buts,0.977,345,
